Date,Open,High,Low,Close,Volume,Adj Close
2010-05-10,4.72,4.89,4.67,4.89,76500,4.31
2010-05-07,4.40,4.50,4.39,4.45,89800,3.92
2010-05-06,4.70,4.71,4.40,4.44,174900,3.92
2010-05-05,4.70,4.72,4.69,4.70,47800,4.14
2010-05-04,5.00,5.00,4.75,4.82,28600,4.25
2010-05-03,4.99,4.99,4.99,4.99,000,4.40
2010-04-30,4.95,4.99,4.85,4.99,59300,4.40
2010-04-29,5.00,5.05,4.93,5.02,70200,4.43
2010-04-28,5.02,5.05,4.82,4.90,120200,4.32
2010-04-27,5.23,5.30,5.00,5.00,230100,4.41
2010-04-26,5.00,5.23,5.00,5.23,241100,4.61
2010-04-23,5.00,5.00,4.93,5.00,69300,4.41
2010-04-22,4.86,5.00,4.86,4.97,22900,4.38
2010-04-21,4.90,4.95,4.85,4.93,40800,4.35
2010-04-20,4.73,4.90,4.73,4.82,216700,4.25
2010-04-19,4.47,4.61,4.47,4.61,77400,4.06
2010-04-16,4.56,4.56,4.56,4.56,000,4.02
2010-04-15,4.62,4.62,4.52,4.56,18500,4.02
2010-04-14,4.60,4.60,4.58,4.58,12600,4.04
2010-04-13,4.67,4.70,4.65,4.65,16200,4.10
2010-04-12,4.70,4.70,4.70,4.70,000,4.14
2010-04-09,4.70,4.72,4.65,4.70,127200,4.14
2010-04-08,4.50,4.62,4.50,4.62,42200,4.07
2010-04-07,4.63,4.66,4.59,4.59,43000,4.05
2010-04-06,4.48,4.59,4.48,4.59,37300,4.05
2010-04-05,4.36,4.50,4.36,4.48,57100,3.95
2010-04-02,4.24,4.24,4.24,4.24,000,3.74
2010-04-01,4.24,4.24,4.24,4.24,000,3.74
2010-03-31,4.24,4.24,4.24,4.24,000,3.74
2010-03-30,4.23,4.24,4.19,4.24,42800,3.74
2010-03-29,4.12,4.18,4.12,4.18,12400,3.69
2010-03-26,4.15,4.15,4.08,4.11,34800,3.62
2010-03-25,4.05,4.25,4.04,4.17,42900,3.68
2010-03-24,4.00,4.00,4.00,4.00,000,3.53
2010-03-23,3.98,4.00,3.96,4.00,25400,3.53
2010-03-22,4.00,4.00,3.95,3.98,66900,3.51
2010-03-19,4.04,4.04,4.00,4.02,30400,3.54
2010-03-18,4.04,4.06,4.00,4.05,28900,3.57
2010-03-17,4.00,4.08,4.00,4.04,34400,3.56
2010-03-16,3.86,3.98,3.85,3.98,45200,3.51
2010-03-15,3.80,3.84,3.80,3.84,23500,3.39
2010-03-12,3.82,3.85,3.82,3.84,28000,3.39
2010-03-11,3.85,3.88,3.80,3.82,26300,3.37
2010-03-10,3.76,3.80,3.74,3.80,37500,3.35
2010-03-09,3.74,3.76,3.73,3.76,21500,3.32
2010-03-08,3.75,3.78,3.75,3.78,8300,3.33
2010-03-05,3.75,3.75,3.75,3.75,4100,3.31
2010-03-04,3.71,3.71,3.71,3.71,1300,3.27
2010-03-03,3.80,3.80,3.80,3.80,000,3.35
2010-03-02,3.82,3.84,3.75,3.80,176500,3.35
2010-03-01,3.67,3.80,3.67,3.78,63600,3.33
2010-02-26,3.68,3.70,3.67,3.67,27700,3.24
2010-02-25,3.65,3.67,3.64,3.64,70700,3.21
2010-02-24,3.66,3.69,3.65,3.69,22400,3.25
2010-02-23,3.74,3.74,3.65,3.65,37700,3.22
2010-02-22,3.73,3.74,3.72,3.74,23600,3.30
2010-02-19,3.70,3.75,3.70,3.72,21700,3.28
2010-02-18,3.72,3.74,3.68,3.71,76300,3.27
2010-02-17,3.69,3.70,3.69,3.69,70400,3.25
2010-02-16,3.65,3.69,3.64,3.66,22200,3.23
2010-02-15,3.66,3.70,3.66,3.69,8200,3.25
2010-02-12,3.64,3.90,3.64,3.64,94100,3.21
2010-02-11,3.56,3.60,3.56,3.60,19300,3.17
2010-02-10,3.56,3.56,3.55,3.56,13100,3.14
2010-02-09,3.56,3.56,3.55,3.56,13800,3.14
2010-02-08,3.51,3.51,3.51,3.51,6100,3.10
2010-02-05,3.50,3.51,3.47,3.51,41800,3.10
2010-02-04,3.55,3.55,3.52,3.52,171800,3.10
2010-02-03,3.65,3.65,3.53,3.57,41200,3.15
2010-02-02,3.57,3.60,3.57,3.60,7900,3.17
2010-02-01,3.60,3.60,3.55,3.57,11300,3.15
2010-01-29,3.60,3.65,3.60,3.65,7800,3.22
2010-01-28,3.55,3.60,3.55,3.56,102700,3.14
2010-01-27,3.50,3.50,3.45,3.50,36000,3.09
2010-01-26,3.50,3.55,3.50,3.55,39000,3.13
2010-01-25,3.55,3.56,3.51,3.55,36000,3.13
2010-01-22,3.60,3.60,3.55,3.60,27900,3.17
2010-01-21,3.70,3.70,3.63,3.64,12400,3.21
